Date,EU_Trend,OF_Trend,OS_Trend,SF_Trend,USB_Trend,PLT_Trend,PLD_Trend,USDI_Price,USDI_Open,USDI_High,USDI_Low,USDI_Volume,USDI_Trend
4/3/2012,0,0,0,0,1,0,0,79.641,78.9,79.655,78.795,28230,1
4/4/2012,0,0,0,0,0,0,0,79.949,79.565,80.095,79.54,22840,1
4/5/2012,0,1,1,1,0,1,1,80.293,79.915,80.365,79.79,4130,1
4/9/2012,1,0,0,0,1,0,1,79.919,80.05,80.32,79.835,11580,0
4/10/2012,0,0,0,1,0,0,0,80.098,79.955,80.245,79.775,26100,1
4/11/2012,1,1,1,0,1,0,0,79.993,80.105,80.15,79.71,18550,0
4/12/2012,1,1,1,1,1,1,1,79.449,79.92,79.955,79.365,25770,0
4/13/2012,0,1,0,0,0,0,0,80.055,79.495,80.08,79.45,19560,1
4/16/2012,1,0,1,0,0,0,1,79.732,80.085,80.345,79.67,25310,0
4/17/2012,0,1,1,1,1,1,1,79.627,79.775,79.94,79.56,15480,0
4/18/2012,0,0,0,1,0,0,0,79.674,79.7,80.025,79.63,15910,1
4/19/2012,1,1,0,1,0,0,1,79.707,79.725,79.98,79.515,19390,1
4/20/2012,1,1,1,0,0,1,1,79.313,79.675,79.745,79.225,23410,0
4/23/2012,0,0,1,0,0,0,0,79.536,79.375,79.775,79.32,18450,1
4/24/2012,1,0,1,1,1,0,0,79.326,79.495,79.535,79.185,16020,0
4/25/2012,1,1,1,0,1,1,0,79.111,79.295,79.415,79.075,20420,0
4/26/2012,0,1,1,1,0,1,1,79.001,79.1,79.17,78.9,17260,0
4/27/2012,1,0,1,1,0,1,1,78.757,79.21,79.335,78.72,22820,0
4/30/2012,0,0,1,0,0,0,1,78.848,78.79,78.96,78.685,19460,1
5/1/2012,0,1,1,0,1,0,0,78.935,78.875,79.05,78.665,13050,1
5/2/2012,0,0,0,0,0,0,0,79.201,78.9,79.4,78.9,19300,1
5/3/2012,0,0,0,0,1,0,0,79.293,79.26,79.535,79.15,20460,1
5/4/2012,0,0,0,1,0,0,0,79.587,79.24,79.615,79.145,24760,1
5/7/2012,0,0,0,1,0,1,0,79.715,79.79,80.135,79.63,21660,1
5/8/2012,0,0,0,0,0,0,0,79.849,79.68,80.075,79.67,25490,1
5/9/2012,0,1,0,1,0,0,0,80.232,80.005,80.415,79.975,38810,1
5/10/2012,1,0,1,0,1,0,1,80.257,80.295,80.34,80.085,28160,1
5/11/2012,0,0,0,0,0,0,0,80.404,80.35,80.48,80.21,21690,1
5/14/2012,0,0,0,0,0,0,0,80.748,80.56,80.86,80.49,30320,1
5/15/2012,0,1,0,0,1,0,1,81.38,80.825,81.45,80.63,49130,1
5/16/2012,0,0,0,0,0,1,1,81.524,81.415,81.745,81.345,37930,1
5/17/2012,0,0,1,1,0,1,1,81.54,81.52,81.83,81.4,47980,1
5/18/2012,1,0,0,1,1,1,1,81.424,81.65,81.93,81.155,31550,0
5/21/2012,1,1,1,0,1,1,1,81.232,81.295,81.56,81.025,28520,0
5/22/2012,0,0,0,1,1,0,0,81.648,81.115,81.94,81.095,33090,1
5/23/2012,0,0,0,0,0,0,0,82.235,81.905,82.36,81.71,38280,1
5/24/2012,0,1,1,1,1,0,0,82.487,82.28,82.535,81.995,35860,1
5/25/2012,0,1,0,1,0,1,1,82.523,82.445,82.61,82.125,10960,1
5/29/2012,0,0,1,0,1,0,0,82.581,82.415,82.71,82.13,25450,1
5/30/2012,0,0,0,1,0,0,1,83.086,82.605,83.175,82.57,28930,1
5/31/2012,0,0,0,0,0,0,1,83.129,83.13,83.295,82.805,31360,1
6/1/2012,1,0,0,1,0,1,1,82.973,83.21,83.67,82.7,57680,0
6/4/2012,1,1,1,0,1,0,0,82.661,82.885,83.15,82.545,26980,0
6/5/2012,0,0,0,1,1,1,1,82.913,82.495,83.035,82.4,28850,1
6/6/2012,1,1,1,1,1,1,1,82.379,82.82,82.905,82.17,33400,0
6/7/2012,0,0,0,0,0,0,0,82.106,82.25,82.455,81.96,27250,0
6/8/2012,0,0,1,1,0,0,0,82.562,82.28,82.945,82.27,30050,1
6/11/2012,0,0,0,1,0,0,1,82.548,82,82.65,81.72,30960,0
6/12/2012,1,0,1,1,1,1,1,82.449,82.63,82.755,82.35,41580,0
6/13/2012,1,0,0,0,0,1,0,82.057,82.445,82.59,81.92,44600,0
6/14/2012,1,0,1,0,1,1,1,81.988,82.125,82.295,81.805,29760,0
6/15/2012,1,1,0,1,0,0,0,81.605,81.905,81.935,81.255,12980,0
6/18/2012,0,0,0,1,0,0,1,81.854,81.235,81.915,81.225,110,1
6/19/2012,1,0,1,0,1,0,0,81.586,82.11,82.28,81.39,34980,0
6/20/2012,1,0,0,1,1,0,0,81.734,81.65,81.96,81.405,42480,1
6/21/2012,0,0,0,0,0,0,0,82.488,81.69,82.615,81.66,29680,1
6/22/2012,1,1,1,0,1,0,1,82.442,82.49,82.67,82.34,22110,0
6/25/2012,0,1,0,1,0,1,0,82.662,82.49,82.825,82.46,18420,1
6/26/2012,0,1,1,0,1,0,0,82.539,82.65,82.865,82.43,25700,0
6/27/2012,0,1,1,0,0,0,0,82.81,82.585,82.905,82.47,19500,1
6/28/2012,0,0,0,0,0,0,0,83.007,82.755,83.07,82.41,31160,1
6/29/2012,1,1,1,1,1,1,1,81.753,82.885,82.905,81.56,40490,0
7/2/2012,0,0,0,1,0,1,0,82.008,81.73,82.095,81.655,17070,1
7/3/2012,1,1,1,1,1,1,1,81.872,82.025,82.145,81.815,14990,0
7/5/2012,0,1,0,1,0,0,0,82.942,82.34,83.085,82.18,27610,1
7/6/2012,0,0,0,1,0,0,0,83.561,82.91,83.605,82.885,30580,1
7/9/2012,1,1,1,1,0,1,1,83.351,83.56,83.63,83.265,23710,0
7/10/2012,0,0,0,0,0,0,0,83.559,83.305,83.65,83.135,18930,1
7/11/2012,0,1,1,1,1,0,1,83.728,83.54,83.76,83.25,19050,1
7/12/2012,0,1,0,1,0,0,0,83.809,83.6,83.985,83.58,18840,1
7/13/2012,1,1,1,0,1,1,1,83.474,83.855,83.935,83.38,23230,0
7/16/2012,1,1,1,0,0,0,0,83.218,83.4,83.77,83.13,15630,0
7/17/2012,1,1,1,1,1,0,1,83.168,83.26,83.69,83.03,19750,0
7/18/2012,0,1,1,0,0,0,0,83.196,83.12,83.46,83.045,14570,1
7/19/2012,0,1,1,0,1,1,1,82.98,83.105,83.255,82.8,18930,0
7/20/2012,0,0,0,1,0,0,0,83.573,83.015,83.665,82.975,22200,1
7/23/2012,0,0,0,1,0,0,0,83.815,83.75,84.14,83.72,22950,1
7/24/2012,0,1,1,0,0,0,0,84.145,83.835,84.245,83.76,18640,1
7/25/2012,1,1,1,1,1,1,1,83.641,84.135,84.175,83.625,18750,0
7/26/2012,1,1,1,0,1,1,1,82.859,83.755,83.85,82.66,35680,0
7/27/2012,1,1,1,0,1,1,1,82.765,82.93,83.065,82.4,34350,0
7/30/2012,0,0,0,1,0,1,1,82.868,82.755,83.045,82.73,13970,1
7/31/2012,1,0,0,1,0,0,0,82.71,82.865,82.935,82.56,14740,0
8/1/2012,0,1,1,0,1,0,0,83.178,82.78,83.27,82.54,20040,1
8/2/2012,0,0,0,0,0,0,0,83.451,83.17,83.61,82.225,37920,1
8/3/2012,1,1,1,1,1,1,1,82.446,83.43,83.47,82.36,24430,0
8/6/2012,1,1,1,1,0,0,0,82.304,82.405,82.625,82.125,15130,0
8/7/2012,1,1,1,1,1,1,1,82.25,82.33,82.425,82.065,16550,0
8/8/2012,0,1,0,1,1,0,1,82.439,82.375,82.57,82.295,15850,1
8/9/2012,0,1,1,1,1,1,0,82.71,82.355,82.865,82.27,17790,1
8/10/2012,0,0,0,0,0,0,0,82.631,82.7,82.945,82.5,16660,0
8/13/2012,1,1,0,0,1,0,0,82.486,82.64,82.765,82.285,13100,0
8/14/2012,0,1,1,1,1,1,1,82.527,82.525,82.615,82.25,15660,1
8/16/2012,1,1,1,1,1,1,1,82.417,82.695,82.96,82.375,19640,0
8/17/2012,0,0,1,0,0,1,1,82.663,82.445,82.825,82.38,15870,1
8/20/2012,1,0,0,1,0,1,0,82.5,82.56,82.765,82.435,11080,0
8/21/2012,1,1,1,1,0,1,1,81.92,82.485,82.51,81.805,27410,0
8/22/2012,1,1,1,1,0,1,1,81.497,81.9,82.135,81.47,26960,0
8/23/2012,1,1,0,1,0,1,1,81.359,81.48,81.535,81.22,22210,0
8/24/2012,0,0,1,1,1,1,1,81.603,81.39,81.75,81.365,15490,1
8/27/2012,0,0,0,1,0,0,1,81.691,81.615,81.73,81.505,9520,1
8/28/2012,1,1,1,0,0,0,0,81.381,81.7,81.84,81.275,12830,0
8/29/2012,0,0,0,0,1,0,0,81.564,81.365,81.605,81.35,11040,1
8/30/2012,0,1,0,0,0,0,0,81.713,81.57,81.78,81.41,12380,1
8/31/2012,1,1,1,1,0,1,1,81.216,81.7,81.74,80.96,24480,0
9/4/2012,0,0,0,1,1,1,1,81.316,81.235,81.395,81.055,12610,1
9/5/2012,1,0,1,1,1,1,1,81.235,81.49,81.675,81.115,19880,0
9/6/2012,1,1,0,1,1,1,1,81.033,81.255,81.455,81.005,24210,0
9/7/2012,1,1,1,1,0,1,1,80.234,81.12,81.14,80.14,28230,0
9/10/2012,0,1,0,1,0,0,1,80.343,80.185,80.4,80.17,20650,1
9/11/2012,1,1,1,0,1,1,1,79.836,80.36,80.37,79.765,20180,0
9/12/2012,1,1,0,0,1,1,1,79.723,79.86,79.99,79.5,35300,0
9/13/2012,1,1,1,1,0,1,1,79.237,79.665,80.075,79.15,29550,0
9/14/2012,1,0,1,0,1,1,1,78.841,79.23,79.265,78.6,16150,0
9/17/2012,0,0,0,0,0,0,0,78.843,78.84,79.015,78.75,880,0
9/18/2012,0,0,0,1,0,0,0,79.346,79.085,79.365,79.035,15260,1
9/19/2012,1,0,0,1,0,1,1,79.127,79.27,79.485,79.07,19020,0
9/20/2012,0,1,1,0,0,0,0,79.478,79.135,79.755,79.13,27150,1
9/21/2012,1,1,1,0,0,1,1,79.398,79.46,79.52,79.11,18660,0
9/24/2012,0,0,0,0,0,0,0,79.577,79.42,79.825,79.42,18010,1
9/25/2012,0,1,0,0,0,1,0,79.608,79.555,79.755,79.375,16290,1
9/26/2012,0,0,0,1,0,1,0,79.948,79.725,80.08,79.67,17200,1
9/27/2012,1,1,1,1,1,1,1,79.592,79.865,80.01,79.55,18220,0
9/28/2012,0,1,0,0,0,1,1,80.025,79.625,80.09,79.42,22450,1
10/1/2012,1,0,1,1,0,1,1,79.909,80.045,80.25,79.67,18310,0
10/3/2012,0,0,0,0,0,1,1,80.064,79.855,80.095,79.795,13940,1
10/4/2012,1,1,1,0,1,1,1,79.44,79.94,80.005,79.355,20030,0
10/5/2012,1,0,0,0,1,0,0,79.428,79.48,79.525,79.18,17730,0
10/9/2012,0,1,1,1,0,0,0,80.069,79.65,80.195,79.57,24270,1
10/10/2012,0,0,0,1,0,0,0,80.017,80.185,80.31,79.935,18390,0
10/11/2012,1,1,1,0,0,1,1,79.86,80.145,80.295,79.78,17280,0
10/12/2012,1,0,0,0,0,0,0,79.74,79.85,79.9,79.575,15020,0
10/15/2012,1,1,1,0,1,1,0,79.806,79.82,80.045,79.68,14000,1
10/16/2012,1,0,1,1,1,1,1,79.464,79.745,79.81,79.365,19140,0
10/17/2012,1,0,1,1,1,1,1,79.059,79.215,79.275,78.97,18830,0
10/18/2012,0,0,1,1,1,0,0,79.425,79.12,79.465,79.035,17860,1
10/19/2012,0,0,0,0,0,0,0,79.688,79.425,79.745,79.37,17720,1
10/22/2012,1,0,0,0,1,0,0,79.736,79.7,79.755,79.535,14740,1
10/23/2012,0,0,0,0,0,0,0,80.08,79.62,80.155,79.62,21580,1
10/24/2012,0,0,0,0,1,0,0,80.015,80.035,80.245,79.91,18540,0
10/25/2012,0,1,1,1,1,1,1,80.118,80.075,80.225,79.775,17230,1
10/26/2012,1,1,1,1,0,0,0,80.156,80.185,80.375,80,24920,1
10/31/2012,1,0,1,1,0,1,1,79.987,80.005,80.055,79.72,16080,0
11/1/2012,0,0,1,0,1,0,1,80.136,79.99,80.19,79.925,18560,1
11/2/2012,0,0,0,0,0,0,0,80.683,80.115,80.74,80.095,28230,1
11/5/2012,0,1,1,1,0,0,1,80.843,80.71,80.925,80.59,18160,1
11/6/2012,1,1,1,1,1,1,1,80.715,80.8,80.92,80.65,24330,0
11/7/2012,0,0,0,0,0,0,0,80.867,80.785,81.025,80.365,34740,1
11/8/2012,0,1,1,1,0,1,1,80.886,80.94,81.11,80.825,20680,1
11/9/2012,0,1,1,1,0,1,0,81.098,80.95,81.175,80.685,23740,1
11/13/2012,0,0,0,0,0,1,1,81.14,81.19,81.32,81.035,20690,1
11/14/2012,1,1,1,1,0,1,0,81.1,81.15,81.215,80.94,23310,0
11/15/2012,1,1,0,0,1,0,0,81.138,81.205,81.25,80.975,24280,1
11/16/2012,0,0,1,1,0,0,0,81.31,81.095,81.515,81.08,28850,1
11/19/2012,1,1,1,1,1,1,1,80.922,81.25,81.28,80.835,17490,0
11/20/2012,1,0,0,0,1,1,0,81,81.025,81.075,80.845,13520,1
11/21/2012,1,1,1,1,1,0,1,80.966,80.98,81.3,80.945,4950,0
11/23/2012,1,1,1,1,1,1,1,80.236,80.755,80.76,80.155,20540,0
11/26/2012,0,0,0,1,0,0,0,80.266,80.23,80.34,80.18,13150,1
11/27/2012,0,0,0,0,0,0,1,80.43,80.12,80.505,80.07,18600,1
11/28/2012,1,0,0,0,0,0,1,80.354,80.39,80.61,80.275,15930,0
11/29/2012,1,1,1,0,0,1,1,80.209,80.32,80.365,80.025,19820,0
11/30/2012,1,1,1,0,0,0,1,80.163,80.195,80.34,80.03,15930,0
12/3/2012,1,0,1,1,1,1,1,79.872,80.195,80.215,79.78,23560,0
12/4/2012,1,0,0,0,0,0,0,79.634,79.885,79.92,79.59,21330,0
12/5/2012,0,0,0,0,0,0,1,79.764,79.62,79.845,79.565,17870,1
12/6/2012,0,0,0,1,0,1,1,80.253,79.865,80.32,79.725,25640,1
12/7/2012,0,0,0,1,1,1,1,80.402,80.27,80.975,80.225,32250,1
12/10/2012,1,1,0,1,0,1,1,80.33,80.54,80.57,80.27,19740,0
12/11/2012,1,1,1,0,1,1,0,80.054,80.32,80.37,80,17270,0
12/12/2012,1,1,1,1,1,0,1,79.81,80.07,80.11,79.365,45360,0
12/13/2012,1,0,0,0,1,0,0,79.913,79.9,80.035,79.785,19360,1
12/14/2012,1,1,1,0,0,1,1,79.56,79.955,79.97,79.495,13370,0
12/17/2012,1,0,1,1,1,0,0,79.513,79.59,79.675,79.49,2240,0
12/18/2012,1,1,1,0,1,0,0,79.387,79.62,79.65,79.29,21580,0
12/19/2012,0,1,1,0,0,0,1,79.313,79.38,79.405,79.015,31550,0
12/20/2012,1,0,1,0,0,0,0,79.31,79.405,79.43,79.065,21970,0
12/21/2012,0,0,0,1,0,0,1,79.712,79.375,79.735,79.34,22720,1
12/24/2012,0,0,0,0,1,0,1,79.745,79.7,79.8,79.445,8260,1
12/26/2012,1,1,1,0,0,1,1,79.704,79.735,79.81,79.47,9970,0
12/27/2012,1,0,0,1,0,0,1,79.719,79.64,79.89,79.42,15350,1
12/28/2012,0,0,0,0,0,0,0,79.785,79.725,80.05,79.685,15290,1
12/31/2012,0,1,1,1,1,1,1,79.871,79.735,79.96,79.69,11780,1
1/2/2013,0,1,1,1,1,1,1,79.948,79.62,80.03,79.46,18900,1
1/3/2013,0,0,0,0,1,0,0,80.515,79.93,80.595,79.92,33630,1
1/4/2013,1,0,1,0,0,1,0,80.61,80.77,80.995,80.52,40390,1
1/7/2013,1,1,1,0,0,0,0,80.369,80.61,80.8,80.335,36590,0
1/8/2013,0,1,0,1,0,1,1,80.445,80.31,80.57,80.22,15520,1
1/9/2013,0,0,1,0,0,1,1,80.677,80.51,80.75,80.45,27720,1
1/10/2013,1,1,1,1,1,1,1,79.817,80.75,80.79,79.745,38460,0
1/11/2013,1,0,0,0,0,0,1,79.611,79.86,79.93,79.49,30220,0
1/14/2013,1,1,1,1,0,1,1,79.54,79.535,79.71,79.405,25940,0
1/15/2013,0,0,0,1,0,1,1,79.832,79.54,79.94,79.435,33210,1
1/16/2013,0,1,1,1,0,1,1,79.854,79.765,79.95,79.66,21230,1
1/17/2013,1,1,1,0,1,0,1,79.711,79.8,79.95,79.615,25250,0
1/18/2013,0,1,1,0,0,0,0,80.116,79.76,80.275,79.71,26100,1
1/22/2013,1,1,1,1,1,1,1,79.973,80.185,80.19,79.785,24740,0
1/23/2013,0,1,0,1,0,0,0,79.99,79.94,80.22,79.765,18760,1
1/24/2013,1,1,1,0,1,0,1,80.007,80.05,80.225,79.925,18940,1
1/25/2013,1,0,1,0,1,1,1,79.82,80.08,80.175,79.745,28050,0
1/28/2013,0,1,1,0,1,0,0,79.868,79.84,79.995,79.785,19550,1
1/29/2013,1,1,1,1,1,1,1,79.624,79.85,79.935,79.575,21060,0
1/30/2013,1,1,1,1,0,1,0,79.326,79.625,79.665,79.21,35290,0
1/31/2013,1,1,0,0,0,0,0,79.226,79.275,79.4,79.16,30050,0
2/1/2013,1,1,1,1,1,1,1,79.135,79.14,79.325,78.915,43790,0
2/4/2013,0,0,0,0,0,1,1,79.573,79.175,79.64,79.17,27260,1
2/5/2013,1,1,1,0,1,1,1,79.533,79.65,79.815,79.49,31430,0
2/6/2013,0,1,1,1,0,1,0,79.767,79.555,79.93,79.53,25290,1
2/7/2013,0,1,0,0,0,0,0,80.257,79.805,80.345,79.58,46430,1
2/8/2013,0,1,0,1,0,0,1,80.316,80.3,80.35,80.01,25100,1
2/11/2013,1,0,1,0,1,0,1,80.389,80.275,80.475,80.17,29300,1
2/12/2013,1,1,1,0,1,1,1,80.163,80.415,80.59,79.99,27870,0
2/13/2013,0,1,0,0,1,1,0,80.167,80.1,80.255,79.915,28470,0
2/14/2013,0,0,1,0,0,0,0,80.538,80.18,80.71,80.145,34170,1
2/15/2013,1,0,0,0,1,0,0,80.576,80.48,80.675,80.305,19400,1
2/19/2013,1,1,1,0,1,0,1,80.545,80.745,80.765,80.505,15640,0
2/20/2013,0,0,0,0,0,0,0,81.155,80.46,81.23,80.35,40940,1
2/21/2013,0,0,0,1,0,0,0,81.551,81.175,81.625,81.125,39690,1
2/22/2013,1,1,1,0,0,0,1,81.585,81.485,81.7,81.26,33310,1
2/25/2013,0,1,0,1,0,1,1,81.777,81.705,82.005,81.165,50840,1
2/26/2013,1,0,1,1,1,1,1,81.94,81.93,82.035,81.63,46510,1
2/27/2013,1,0,1,0,1,0,0,81.672,81.94,81.985,81.555,38850,0
2/28/2013,0,0,0,0,0,0,0,82.003,81.605,82.075,81.535,27990,1
3/1/2013,0,0,0,1,0,0,0,82.358,82.01,82.58,81.85,34830,1
3/4/2013,1,0,0,0,1,0,0,82.255,82.355,82.53,82.23,19760,0
3/5/2013,1,1,1,0,1,1,1,82.147,82.21,82.3,81.955,25020,0
3/6/2013,0,0,0,1,1,0,1,82.507,82.02,82.64,81.975,26040,1
3/7/2013,1,1,1,0,1,1,1,82.123,82.615,82.62,81.995,35170,0
3/8/2013,0,0,1,1,1,1,1,82.731,82.165,82.945,82.105,39050,1
3/11/2013,1,0,1,0,1,1,0,82.58,82.76,82.885,82.53,31260,0
3/12/2013,0,0,1,1,0,0,0,82.595,82.675,82.815,82.425,30030,1
3/13/2013,0,0,0,0,1,0,0,82.902,82.575,83.07,82.35,50330,1
3/14/2013,1,1,1,0,1,1,0,82.623,82.915,83.18,82.44,36800,0
3/15/2013,1,1,1,0,0,0,1,82.256,82.53,82.605,82.06,15350,0
3/18/2013,0,0,1,1,0,0,0,82.574,82.68,82.83,82.545,680,1
3/19/2013,0,0,0,1,0,0,0,83.211,82.935,83.315,82.83,32720,1
3/20/2013,1,1,1,0,1,1,1,82.948,83.24,83.245,82.725,30490,0
3/21/2013,0,0,0,1,0,1,0,82.905,83,83.185,82.835,22590,0
3/22/2013,1,1,1,0,1,1,1,82.529,82.96,82.985,82.435,27120,0
3/25/2013,0,1,1,1,0,1,0,82.995,82.61,83.11,81.83,30090,1
3/26/2013,1,1,1,0,0,0,1,83.048,83.02,83.165,82.88,19340,1
3/27/2013,0,1,1,0,0,1,1,83.411,83.04,83.52,83.01,28790,1
3/28/2013,1,1,1,0,1,0,1,83.175,83.42,83.46,83.02,20730,0
4/1/2013,1,1,0,0,0,1,1,82.899,83.175,83.365,82.81,12020,0
4/2/2013,0,0,0,0,1,0,0,83.092,82.87,83.13,82.645,16800,1
4/3/2013,1,0,0,0,0,0,0,82.861,83.075,83.245,82.77,20050,0
4/4/2013,1,0,0,1,0,0,0,82.795,82.84,83.66,82.74,43460,0
4/5/2013,1,0,0,1,0,1,1,82.603,82.88,83.01,82.31,30710,0
4/8/2013,1,1,1,0,1,0,1,82.869,82.75,82.955,82.605,19370,1
4/9/2013,1,1,1,1,1,1,1,82.414,82.78,82.82,82.375,21870,0
4/10/2013,0,0,1,0,1,0,0,82.634,82.485,82.675,82.32,24750,1
4/11/2013,1,0,0,0,0,1,1,82.325,82.65,82.68,82.14,27950,0
4/12/2013,1,0,0,0,0,0,0,82.406,82.295,82.585,82.14,25290,1
4/15/2013,0,0,0,0,0,0,0,82.507,82.19,82.545,82.19,30020,1
5/1/2013,1,0,0,0,0,0,0,81.522,81.74,81.78,81.37,24790,0
5/2/2013,0,1,1,1,0,1,1,82.282,81.64,82.415,81.54,43070,1
